time_step,mean_nRMSE,publication_net
1,0.004346703,Conv;34;10;relu
2,0.006867502,Conv;34;10;relu
3,0.009470659,Conv;34;10;relu
4,0.012346364,Conv;34;10;relu
5,0.016054995,Conv;34;10;relu
6,0.020529332,Conv;34;10;relu
7,0.025253927,Conv;34;10;relu
8,0.03026653,Conv;34;10;relu
9,0.03553077,Conv;34;10;relu
10,0.040696763,Conv;34;10;relu
11,0.046411406,Conv;34;10;relu
12,0.052437864,Conv;34;10;relu
13,0.05856144,Conv;34;10;relu
14,0.06479941,Conv;34;10;relu
15,0.07130222,Conv;34;10;relu
16,0.07789203,Conv;34;10;relu
17,0.084708296,Conv;34;10;relu
18,0.09258959,Conv;34;10;relu
19,0.10122315,Conv;34;10;relu
20,0.10878876,Conv;34;10;relu
21,0.11548091,Conv;34;10;relu
22,0.12286534,Conv;34;10;relu
23,0.13189495,Conv;34;10;relu
24,0.1413188,Conv;34;10;relu
25,0.14928232,Conv;34;10;relu
26,0.1553574,Conv;34;10;relu
27,0.16144751,Conv;34;10;relu
28,0.16957286,Conv;34;10;relu
29,0.17956036,Conv;34;10;relu
30,0.18960069,Conv;34;10;relu
31,0.19919936,Conv;34;10;relu
32,0.20822142,Conv;34;10;relu
33,0.21610907,Conv;34;10;relu
34,0.2232355,Conv;34;10;relu
35,0.23208587,Conv;34;10;relu
36,0.24306904,Conv;34;10;relu
37,0.25539437,Conv;34;10;relu
38,0.26921603,Conv;34;10;relu
39,0.28515127,Conv;34;10;relu
40,0.30336168,Conv;34;10;relu
41,0.32203743,Conv;34;10;relu
42,0.34028798,Conv;34;10;relu
43,0.35824972,Conv;34;10;relu
44,0.3754548,Conv;34;10;relu
45,0.39204168,Conv;34;10;relu
46,0.40841496,Conv;34;10;relu
47,0.42512196,Conv;34;10;relu
48,0.44189936,Conv;34;10;relu
49,0.4582078,Conv;34;10;relu
50,0.4742561,Conv;34;10;relu
51,0.49022302,Conv;34;10;relu
52,0.5064572,Conv;34;10;relu
53,0.5227294,Conv;34;10;relu
54,0.539208,Conv;34;10;relu
55,0.5563378,Conv;34;10;relu
56,0.57524115,Conv;34;10;relu
57,0.59551966,Conv;34;10;relu
58,0.6157008,Conv;34;10;relu
59,0.63577,Conv;34;10;relu
60,0.6566527,Conv;34;10;relu
61,0.678063,Conv;34;10;relu
62,0.6998261,Conv;34;10;relu
63,0.72229975,Conv;34;10;relu
64,0.74582464,Conv;34;10;relu
65,0.77005816,Conv;34;10;relu
66,0.79390925,Conv;34;10;relu
